feature,label,positive_mean,negative_mean,mean_difference,t_value,p_value,feature_std,adjusted_p_value,significant_fdr_0_05
value_score,business_drink,0.634788015800846,0.669329055796837,-0.03454103999599101,-3.8444872928145,0.00030943812718760885,0.06429492180875948,0.0006630817011163046,True
value_confidence,couple,0.08618801527523635,0.06796426436943967,0.018223750905796685,1.9153798745392256,0.05681101739001799,0.0881128865089537,0.0817144770678341,False
value_confidence,friend_meal,0.08404263084978039,0.06829443032693747,0.015748200522842926,1.6245949529205936,0.10571314119603745,0.0881128865089537,0.13874849781979914,False
value_confidence,friend_drink,0.08509912422472055,0.06742544265539696,0.017673681569323585,1.9267611542129455,0.05517719544285925,0.0881128865089537,0.0808758875031203,False
value_confidence,business_meal,0.07860755313200873,0.0717555069440899,0.006852046187918834,0.49546630393004215,0.6218431298792346,0.0881128865089537,0.6946120067799961,False
value_confidence,business_drink,0.08563852034055523,0.07132868593796055,0.014309834402594687,0.8754207510388178,0.3853859736431754,0.0881128865089537,0.45983553673333427,False
value_mentions,couple,0.974025974025974,1.781512605042017,-0.8074866310160429,-6.052745454190944,3.4224518920527056e-09,1.7693024816598608,1.8913549929764953e-08,True
value_mentions,friend_meal,0.9818181818181818,1.7978494623655914,-0.8160312805474096,-5.766153839521397,1.757120866793421e-08,1.7693024816598608,8.021638739709096e-08,True
value_mentions,friend_drink,0.9943820224719101,1.8163716814159292,-0.8219896589440191,-6.001048825141945,4.252637812031855e-09,1.7693024816598608,2.232634851316724e-08,True
value_mentions,business_meal,0.9180327868852459,1.655536028119508,-0.737503241234262,-4.608626911154065,1.2087415009070122e-05,1.7693024816598608,3.4302123674388186e-05,True
value_mentions,business_drink,0.9375,1.6374570446735395,-0.6999570446735395,-3.934186520345221,0.00019631060710038008,1.7693024816598608,0.0004580580832342202,True
portion_score,couple,0.6777018102980029,0.6715162756581898,0.006185534639813084,1.9246808409502498,0.055457751430711064,0.03296161369566565,0.0808758875031203,False
portion_score,friend_meal,0.6783849908668178,0.6711275322713244,0.007257458595493427,2.3903963003300666,0.017496337314410224,0.03296161369566565,0.028263314123278056,True
portion_score,friend_drink,0.6784212913564339,0.6709045047295256,0.007516786626908356,2.5739157221060123,0.010504638382155972,0.03296161369566565,0.01750773063692662,True
portion_score,business_meal,0.6738717158741154,0.672937875801177,0.0009338400729383967,0.19412028771494752,0.846636208117351,0.03296161369566565,0.8630757461390471,False
portion_score,business_drink,0.6725207958754794,0.6730701508542402,-0.000549354978760741,-0.11543511419182458,0.9085141418869518,0.03296161369566565,0.9085141418869518,False
portion_confidence,couple,0.0715950715950716,0.028853972483755944,0.042741099111315656,5.0628909094783,9.796896850892704e-07,0.07281937650383008,3.9564391128605155e-06,True
portion_confidence,friend_meal,0.06248228282806005,0.031076462927481605,0.03140581990057845,4.176648021623794,4.210784460973786e-05,0.07281937650383008,0.00011053309210056188,True
portion_confidence,friend_drink,0.05980998861696321,0.031225561845330537,0.028584426771632674,4.013253231945042,7.820290930218247e-05,0.07281937650383008,0.00019096059248207344,True
portion_confidence,business_meal,0.070554131288661,0.03595137068418372,0.034602760604477284,2.9259115656101224,0.004662703038522314,0.07281937650383008,0.00802596424663677,True
portion_confidence,business_drink,0.078125,0.03609988303764409,0.04202511696235591,3.0851831753201244,0.0032668466425147514,0.07281937650383008,0.005914118921793946,True
portion_mentions,couple,0.7207792207792207,0.5630252100840336,0.15775401069518713,1.7430340898176437,0.08258791330972949,0.9410260718402061,0.11410172233581048,False
portion_mentions,friend_meal,0.6424242424242425,0.5870967741935483,0.05532746823069412,0.6720162096538328,0.50207639259976,0.9410260718402061,0.5793189145381846,False
portion_mentions,friend_drink,0.6179775280898876,0.5951327433628318,0.022844784727055756,0.28839477779877354,0.7732097342581209,0.9410260718402061,0.8284390009908439,False
portion_mentions,business_meal,0.7540983606557377,0.5852372583479789,0.16886110230775875,1.376952930244267,0.1726420747694187,0.9410260718402061,0.21580259346177336,False
portion_mentions,business_drink,0.8125,0.584192439862543,0.228307560137457,1.6212629508634322,0.1106719863883647,0.9410260718402061,0.14346368605899126,False
brightness_score,couple,0.4757505611672278,0.5120057397959183,-0.03625517862869054,-3.723687163733404,0.00023596559023782442,0.11271824517699001,0.000527157169680246,True
brightness_score,friend_meal,0.4749222382555715,0.513157310216002,-0.03823507196043047,-4.108231415794681,5.000330797740662e-05,0.11271824517699001,0.00012805725213726086,True
brightness_score,friend_drink,0.47345926718585896,0.514833117264441,-0.041373850078582075,-4.578573015949562,6.294060713644245e-06,0.11271824517699001,1.835767708146238e-05,True
brightness_score,business_meal,0.464384739931188,0.5072985051437746,-0.04291376521258661,-3.232992947258895,0.0017895130390204086,0.11271824517699001,0.0034163430744935074,True
brightness_score,business_drink,0.46113683127572,0.5066078190058001,-0.04547098773008007,-3.3009112305971593,0.0016229755233029333,0.11271824517699001,0.0031557857397557037,True
brightness_confidence,couple,0.005844155844155844,0.002804444899892805,0.0030397109442630394,1.4530525076246879,0.14761389681048206,0.02041388149482247,0.18674047186868215,False
brightness_confidence,friend_meal,0.006379585326953748,0.0025425466524765733,0.0038370386744771747,1.8480082707550154,0.06584169341540967,0.02041388149482247,0.09217837078157354,False
brightness_confidence,friend_drink,0.005913660555884093,0.0026156729942513417,0.0032979875616327516,1.6765123959455825,0.09477498659720379,0.02041388149482247,0.1275817127270051,False
brightness_confidence,business_meal,0.006557377049180328,0.003224808035762698,0.00333256901341763,1.0091374286463943,0.31646573092558705,0.02041388149482247,0.3819413993929499,False
brightness_confidence,business_drink,0.004166666666666667,0.003496418852833291,0.0006702478138333758,0.22080260178274363,0.8260600429949179,0.02041388149482247,0.8503559266124155,False
brightness_mentions,couple,0.05844155844155844,0.046218487394957986,0.012223071046600455,0.5484556371260842,0.5838180357377459,0.2505149011513929,0.6663140625267753,False
brightness_mentions,friend_meal,0.07272727272727272,0.04086021505376344,0.03186705767350928,1.2938083906193216,0.19692133434722656,0.2505149011513929,0.24325576595833867,False
brightness_mentions,friend_drink,0.06741573033707865,0.0420353982300885,0.02538033210699015,1.0849727821262356,0.2788299767787155,0.2505149011513929,0.3404319483926178,False
brightness_mentions,business_meal,0.06557377049180328,0.04745166959578207,0.01812210089602121,0.5386831010575539,0.5917311871070624,0.2505149011513929,0.6680835983466834,False
brightness_mentions,business_drink,0.041666666666666664,0.04982817869415808,-0.008161512027491415,-0.2633226682671193,0.7932039644209824,0.2505149011513929,0.8399068150326657,False
noise_score,couple,0.37233722360041355,0.3743703221728807,-0.00203309857246714,-0.2537312333213586,0.7999112524120626,0.08456900149712375,0.8399068150326657,False
noise_score,friend_meal,0.38883366720961415,0.36856484021326563,0.02026882699634852,2.337448081275888,0.0202577014801145,0.08456900149712375,0.0322281614456367,True
noise_score,friend_drink,0.38983505846655425,0.3675875340303279,0.02224752443622635,2.624393247739417,0.009202635995065555,0.08456900149712375,0.015585109346481989,True
noise_score,business_meal,0.39600875558867354,0.37150030175368326,0.024508453834990285,2.0094901419002467,0.048275642157195625,0.08456900149712375,0.0734629337174716,False
noise_score,business_drink,0.3924713717031425,0.37233948444502407,0.02013188725811843,1.5695404660421093,0.12227598359261392,0.08456900149712375,0.1565729058198105,False
noise_confidence,couple,0.0616960420531849,0.014629235472644327,0.04706680658054058,6.003592174459751,9.095489410550543e-09,0.07171880227601263,4.3410290368536686e-08,True
noise_confidence,friend_meal,0.052451833718663576,0.016796030102343405,0.035655803616320175,4.926713382786003,1.583339614371552e-06,0.07171880227601263,5.614827962397594e-06,True
noise_confidence,friend_drink,0.0542390593459522,0.015066712384047973,0.03917234696190422,5.47916621369938,1.0467520627484416e-07,0.07171880227601263,4.5795402745244317e-07,True
noise_confidence,business_meal,0.0702066232330597,0.02140967055176192,0.04879695268129779,3.9192774939616486,0.00021207216334335016,0.07171880227601263,0.00048407776415329925,True
noise_confidence,business_drink,0.06979166666666667,0.02253386007073742,0.04725780659592925,3.5620124236283317,0.0008011595363532207,0.07171880227601263,0.0016494461042566308,True
noise_mentions,couple,0.6233766233766234,0.23319327731092437,0.390183346065699,5.026308711551783,1.1121736919714929e-06,0.7054024032661974,4.325119913222472e-06,True
noise_mentions,friend_meal,0.5696969696969697,0.24301075268817204,0.32668621700879763,4.440470553159363,1.4079492327731782e-05,0.7054024032661974,3.890386037925887e-05,True
noise_mentions,friend_drink,0.5842696629213483,0.22787610619469026,0.35639355672665807,4.920677997687987,1.604236560685027e-06,0.7054024032661974,5.614827962397594e-06,True
noise_mentions,business_meal,0.7704918032786885,0.281195079086116,0.4892967241925725,3.8363006845614747,0.0002820778787652184,0.7054024032661974,0.0006170453597989153,True
noise_mentions,business_drink,0.7083333333333334,0.2972508591065292,0.41108247422680416,3.0987964870800915,0.0031447837213477697,0.7054024032661974,0.005793022644587997,True
spaciousness_score,couple,0.585173662094851,0.5831623194732681,0.002011342621582868,0.24279315648579836,0.8083890687792931,0.08056182015873715,0.8404044774438195,False
spaciousness_score,friend_meal,0.5943313534645533,0.5798652359359815,0.014466117528571854,1.7048750121717833,0.08958532777325628,0.08056182015873715,0.12216181059989492,False
spaciousness_score,friend_drink,0.5949012483952142,0.5792247473839262,0.015676501011288035,1.8958458074570583,0.05914368595537871,0.08056182015873715,0.08392009493668601,False
spaciousness_score,business_meal,0.631432812848455,0.5785318215257064,0.052900991322748614,4.959949145771563,4.411226628482142e-06,0.08056182015873715,1.4503232942522088e-05,True
spaciousness_score,business_drink,0.6409258952072693,0.5789305241613982,0.06199537104587105,5.080675179798263,4.728552846987731e-06,0.08056182015873715,1.504539542223369e-05,True
spaciousness_confidence,couple,0.08806693306693306,0.031181934917258184,0.056884998149674876,6.11021702205505,5.262187790738872e-09,0.08470022250123121,2.6310938953694363e-08,True
spaciousness_confidence,friend_meal,0.09716533758639023,0.026607802174555273,0.07055753541183496,7.198582903523036,1.3743440015358407e-11,0.08470022250123121,9.019132510078955e-11,True
spaciousness_confidence,friend_drink,0.09821812002283009,0.02416390121428946,0.07405421880854063,7.885640024733595,1.8805652710701425e-13,0.08470022250123121,1.4104239533026069e-12,True
spaciousness_confidence,business_meal,0.12949659351945497,0.03603799034839339,0.09345860317106158,5.345815783515906,1.294071582108603e-06,0.08470022250123121,4.8527684329072606e-06,True
spaciousness_confidence,business_drink,0.1451388888888889,0.03683546743342942,0.10830342145545949,5.132931542306068,4.910039504615886e-06,0.08470022250123121,1.5163357293666706e-05,True
spaciousness_mentions,couple,0.9090909090909091,0.5798319327731093,0.32925897631779977,3.264127949203066,0.001250981519507341,1.0738308882883694,0.002526020375928285,True
spaciousness_mentions,friend_meal,1.0363636363636364,0.5268817204301075,0.5094819159335289,4.663655284001675,5.247944555839518e-06,1.0738308882883694,1.5743833667518555e-05,True
spaciousness_mentions,friend_drink,1.0561797752808988,0.504424778761062,0.5517549965198368,5.216417569592309,3.782536183242413e-07,1.0738308882883694,1.5886651969618134e-06,True
spaciousness_mentions,business_meal,1.3770491803278688,0.5834797891036907,0.7935693912241781,4.4032883349252865,3.917847396486956e-05,1.0738308882883694,0.00010548050682849496,True
spaciousness_mentions,business_drink,1.4583333333333333,0.5945017182130584,0.8638316151202748,4.064906295314605,0.00016682993645554008,1.0738308882883694,0.000398116893814357,True
